"<h2 id=""RE_enhancements"">What new enhancements are available in NM MyChart (web)?</h2>" "['\n', , '\n', 
Include certain attachments, like photos and video, on messages sent to your provider.
Complete the Pre Check-In process from home, saving you time when you arrive for your appointment. You can
        electronically sign documents, update your demographics information, add or verify insurance (including
        submitting insurance card images), add credit card information to pay outstanding balances, pre-payments, or
        authorize copays, and update information about your medical history (including your medications, allergies, and
        preferred pharmacy).
    
View orders and tests placed by your physician.
Request records and view copies of information released from Medical Records.
Patients who are pregnant can pre-register for their day of delivery to save time when arriving at the
        hospital.
    
Link your NM MyChart account to other organizations via Happy Together to view clinical information from another
        organization in your NM MyChart account.
    
Allow non-NM physicians to review your NM MyChart information by generating a Share Everywhere code.
Utilize the Pay as Guest page to pay bills without needing to log into your MyChart account.
Keep your clinicians up-to-date on your End-of-Life / Advance Care Planning decisions by uploading the
        associated documents in our Advance Care Planning activity.
    
Keep track of all of your documents in the My Documents section.
, '\n']"
"<h2 id=""RE_enhancementsapp"">What new enhancements are available in the MyNM
    app?</h2>" "['\n', The MyNM app is a brand new digital platform launched in December 2018, which offers you the same
    functionality as the MyChart app, including:, '\n', 
Send secure electronic messages to your doctor’s office.
Access health information related to your care.
View your lab results and discharge instructions.
Request prescription refills.
Schedule, change, or view your appointments.
View billing statements and pay your outstanding balances.
View the health record and billing information for your family member(s) via Proxy Access.
, '\n', In addition to these MyChart-related features, the MyNM app introduces these new features:, '\n', 
 Find a physician or location
Access real-time, indoor turn-by-turn directions for locations on the downtown Northwestern Memorial Hospital
        campus
    
Obtain information about Northwestern Medicine from anywhere, anytime
, '\n']"
"<h2 id=""EQ_what"">What is MyChart?</h2>" "['\n', MyChart offers patients personalized and secure on-line access
    to portions of their medical records. It enables you to securely use the Internet to help manage and receive
    information about your health*. With MyChart or the MyNM app, you can use the Internet to:, '\n', 
Send secure electronic messages to your doctor's office.
Access health information related to your care.
View your lab results and discharge instructions.
Request prescription refills.
Schedule, change, or view your appointments.
View billing statements and pay your outstanding balances.
View the health record and billing information for your family member(s) via Proxy Access
, '\n', For further information, please review the MyChart Terms and Conditions., '\n', *Some of MyChart's features may
    not be available for hospital-based care, '\n']"
"<h2 id=""EQ_urgent"">Should I use
    MyChart in an urgent situation?</h2>" "['\n', Neither MyChart nor the MyNM app should be used for urgent matters. If you
    are experiencing a life-threatening illness or injury, please go to the nearest hospital emergency department and/or
    dial 9-1-1 for immediate attention., '\n']"
"<h2 id=""EQ_fee"">Is there a fee to use
    MyChart or the MyNM app?</h2>" "['\n', Both the MyNM app and MyChart are free services offered to our patients. Some
    features, like certain virtual visits, might have a fee associated., '\n']"
"<h2 id=""EQ_sign"">How do I sign up for NM MyChart?</h2>" "['\n', NM MyChart requires that you have an Access Code in order
    to enroll and create an account. There are a few ways you can get an Access Code:, '\n', 
During an office visit with your doctor, check-in staff may ask if you are interested in enrolling and send you
        an email with an Access Code.
    
If you aren't asked to enroll during check-in, you should receive an Access Code on your visit summary paperwork
        before you leave the office.
    
If you don't have an upcoming appointment or don't want to wait, you can always visit the NM MyChart enrollment activity.
    
If you are stuck or have questions, please contact our NM MyChart Help Desk at 1-855-HLP-MYNM
        (1-855-457-6966).
    
Click here to learn how to download the MyNM app.
    
, '\n']"
"<h2 id=""EQ_access"">What is an Access Code?</h2>" "['\n', An Access Code allows you
    to quickly sign up for your MyChart account and for the system to associate this new account with your existing
    medical record. You may have received an access code in your doctor's office via email or on your After Visit
    Summary paperwork. If you never received an access code, or if your access code is expired or doesn't work, you can
    request a new one at any time and have it sent to you via email, text message, or letter - depending on your
    preference. Alternatively, you can select the ""I don't have an Access Code"" button on the MyChart login page to
    begin the direct self-signup process. , '\n', Click here to
        request a new access code., '\n']"
"<h2 id=""EQ_expired"">What should I do if my
    Access Code is disabled or does not work?</h2>" "['\n', For your security, your Access Code expires after 90 days and is no
    longer valid after the first time you use it. If you've already received an Access Code, but it is disabled,
    expired, or does not work, you do not need to contact your doctor., '\n', Click here to request a new access code., '\n']"
"<h2 id=""EQ_username"">Is my Access Code my username? </h2>" "['\n', No, your Access
    Code is not your MyChart username or password. You will use this code only once in order to log into MyChart for the
    first time (the code will expire once you use it or after 90 days). During your initial MyChart login, you will be
    asked to create your own unique MyChart username and password, which you will use for your subsequent logins., '\n']"
"<h2 id=""EQ_app"">What if I've never had an appointment with a Northwestern
    Medicine doctor, but I am interested in signing up for MyChart? </h2>" "['\n', In order to sign up for a MyChart account,
    you must be an established patient of Northwestern Medicine. You are an established patient if one of the following
    can apply to you:, '\n', 
You've had an office visit with one of our Northwestern Medicine providers
You were admitted and had an Inpatient stay at Northwestern Memorial, Lake Forest, Central DuPage, Delnor,
        Kishwaukee or Valley West Hospital
    
You were seen in the Emergency Room at Northwestern Memorial, Lake Forest, Central DuPage, or Kishwaukee
        Hospital
    
, '\n', If you're interested in setting up your first appointment with a Northwestern Medicine doctor, please contact
    our Patient Services Center at 312-695-1920 or you can request an appointment by filling out our online form here., '\n']"
"<h2 id=""EQ_ques"">
    Who do I contact if I have further questions?</h2>" "['\n', You can submit an email to MyChart@NM.org with your name, phone
    number, and best time to contact or call our 24/7 MyChart HelpDesk directly at 1-855-HLP-MYNM (1-855-457-6966)., '\n']"
"<h2 id=""NM_diffnm"">What is the difference between MyChart and the MyNM app?</h2>" "['\n', MyChart is the tool
    that Northwestern Medicine uses to offer patients personalized and secure on-line access to portions of their
    medical records. MyChart can be accessed on a desktop computer using an Internet Browser like Chrome, Firefox,
    Safari or Internet Explorer. MyNM is Northwestern Medicine’s mobile app which makes accessing MyChart easier for
    patients using a mobile device like a phone or tablet. MyNM contains MyChart, as well as many other helpful
    features., '\n']"
"<h2 id=""NM_already"">I already have the MyChart app on my phone -
    can I continue to use the MyChart app instead of MyNM?</h2>" "['\n', No. To continue using MyChart to access your
    Northwestern Medicine health information on a mobile device, you will need to use the MyNM app. Our new app offers
    enhanced capabilities not available in the MyChart app. Access to MyChart from a desktop computer is not
    changing., '\n', If you also use the MyChart app to access health records from other, non-Northwestern Medicine
    health systems, you may need to keep the MyChart app on your phone., '\n']"
"<h2 id=""NM_get"">How do I get the MyNM app?</h2>" "['\n', Text MYNM to 43506 to receive a link to the app, or search “MyNM”
    in the App Store for iPhone or Google Play store for Android phones., '\n']"
